word.1	word.2	word.3	word.4	word.5	word.6	word.7	word.8	word.9	word.10	word.11	word.12	word.13	word.14	word.15	word.16	word.17	word.18	word.19	word.20	word.21	word.22	word.23	word.24	word.25	word.26	word.27	word.28	word.29	word.30	word.31	word.32	word.33	word.34	word.35	word.36	word.37	word.38	word.39	word.40	word.41	word.42	word.43	word.44	word.45	word.46	word.47	word.48	word.49	word.50	word.51	word.52	word.53	word.54	word.55	word.56	word.57	word.58	word.59	word.60	word.61	word.62	word.63	word.64	word.65	word.66	word.67	word.68	word.69	word.70	word.71	word.72	word.73	word.74	word.75	word.76	word.77	word.78	word.79	word.80	word.81	word.82	word.83	word.84	word.85	word.86	word.87	word.88	word.89	word.90	
0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
0.0015980 0.0015980 0.0007990 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0007990 0.0007990 0.0007990 0.0007990 0.0007990 0.0007990 0.0007990 0.0007990 0.0007990 0.0007990 0.0007990 0.0007990 0.0007990 0.0007990 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
0.0011084 0.0011084 0.0005542 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0005542 0.0005542 0.0005542 0.0005542 0.0005542 0.0005542 0.0005542 0.0005542 0.0005542 0.0005542 0.0005542 0.0005542 0.0005542 0.0005542 0.0000970 0.0000970 0.0000970 0.0000970 0.0000970 0.0000970 0.0000970 0.0000970 0.0000970 0.0000970 0.0000970 0.0000970 0.0000970 0.0000970 0.0005650 0.0005650 0.0005650 0.0005650 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000053 0.0000053 0.0000053 0.0000053 0.0000053 0.0000053 0.0000053 0.0000053 0.0000053 0.0000053 0.0000053 0.0000053 0.0000053 0.0000053 0.0000000 0.0000000 0.0000000 0.0000000 0.0113052 0.0113052 0.0113052 0.0113052 0.0113052 0.0113052 0.0113052 0.0113052 0.0113052 0.0113052 0.0113052 0.0113052 0.0113052 0.0113052 0.0113052 0.0113052 0.0113052 0.0113052 0.0113052 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
0.0015299 0.0015299 0.0007649 0.0007990 0.0000000 0.0000000 0.0000000 0.0000000 0.0007649 0.0007649 0.0007649 0.0007649 0.0007649 0.0007649 0.0007649 0.0007649 0.0007649 0.0007649 0.0007649 0.0007649 0.0007649 0.0007649 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0007798 0.0007798 0.0007798 0.0007798 0.0003185 0.0003185 0.0003185 0.0003185 0.0003185 0.0003185 0.0003185 0.0003185 0.0003185 0.0003185 0.0003185 0.0003185 0.0003185 0.0003185 0.0003185 0.0003185 0.0003185 0.0003185 0.0003185 0.0007990 0.0007990 0.0007990 0.0007990 0.0007990 0.0007990 0.0007990 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000000 0.0000000 0.0000000 0.0000000 0.0110998 0.0110998 0.0110998 0.0110998 0.0110998 0.0110998 0.0110998 0.0110998 0.0110998 0.0110998 0.0110998 0.0110998 0.0110998 0.0110998 0.0110998 0.0110998 0.0110998 0.0110998 0.0110998 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000054 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
0.0010675 0.0010675 0.0005337 0.0005574 0.0000000 0.0000000 0.0000000 0.0000000 0.0005337 0.0005337 0.0005337 0.0005337 0.0005337 0.0005337 0.0005337 0.0005337 0.0005337 0.0005337 0.0005337 0.0005337 0.0005337 0.0005337 0.0000934 0.0000934 0.0000934 0.0000934 0.0000934 0.0000934 0.0000934 0.0000934 0.0000934 0.0000934 0.0000934 0.0000934 0.0000934 0.0000934 0.0005441 0.0005441 0.0005441 0.0005441 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0005574 0.0005574 0.0005574 0.0005574 0.0005574 0.0005574 0.0005574 0.0000968 0.0000968 0.0000968 0.0000968 0.0000968 0.0000968 0.0000968 0.0000968 0.0000968 0.0000968 0.0000968 0.0000968 0.0000968 0.0000968 0.0005650 0.0005650 0.0005650 0.0005650 0.0005650 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000
0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000000 0.0000000 0.0000000 0.0000000 0.0107191 0.0107191 0.0107191 0.0107191 0.0107191 0.0107191 0.0107191 0.0107191 0.0107191 0.0107191 0.0107191 0.0107191 0.0107191 0.0107191 0.0107191 0.0107191 0.0107191 0.0107191 0.0107191 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000052 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0110058 0.0110058 0.0110058 0.0110058 0.0110058
0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000049 0.0000049 0.0000049 0.0000049 0.0000049 0.0000049 0.0000049 0.0000049 0.0000049 0.0000049 0.0000049 0.0000049 0.0000049 0.0000049 0.0000000 0.0000000 0.0000000 0.0000000 0.0103450 0.0103450 0.0103450 0.0103450 0.0103450 0.0103450 0.0103450 0.0103450 0.0103450 0.0103450 0.0103450 0.0103450 0.0103450 0.0103450 0.0103450 0.0103450 0.0103450 0.0103450 0.0103450 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000050 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0106217 0.0106217 0.0106217 0.0106217 0.0106217
