time.decay.1	time.decay.2	time.decay.3	
1.071568862979169268e+02 9.268881588973380303e+01 1.065209613225880219e+02
1.147763648884274943e+02 9.615409984005202659e+01 7.716957676636677377e+01
1.108649390881943191e+02 9.671304725556622373e+01 8.092100222771190943e+01
8.760711970968316109e+01 8.598632048860950761e+01 8.474449579759513540e+01
1.068364207676831370e+02 9.583492225513845142e+01 9.506982295169433428e+01
7.860091249320697671e+01 8.611149049467613281e+01 9.327189108386357930e+01
9.870768197795051435e+01 8.895306919596484363e+01 1.002602741837326192e+02
1.032458560256940814e+02 8.731669822251551238e+01 9.148256533629090370e+01
9.971759564673547516e+01 9.031703498734169955e+01 1.064216079766592173e+02
9.325898744812727159e+01 1.081410813586501689e+02 9.052522826068062045e+01
1.129421122072587025e+02 1.085916592760957258e+02 9.699626476452475288e+01
1.041755695192686346e+02 9.900024083962335908e+01 9.907156837925410287e+01
1.063340998883302717e+02 9.612245277433169122e+01 1.047858660129476220e+02
1.131348174881339759e+02 9.361296375005521497e+01 9.562551031197506290e+01
1.214789231037013622e+02 9.529433038397576183e+01 9.646898467355170226e+01
7.300025695518971247e+01 1.096623100948057612e+02 1.066412616299772935e+02
1.104473427228393518e+02 1.126525267320501342e+02 1.005154361103828649e+02
1.074288153004493438e+02 1.222683633519996107e+02 1.006001718109369847e+02
1.269575411575480359e+02 8.662050076352639394e+01 1.026181870449303943e+02
1.292567498526322254e+02 8.156316506008113265e+01 1.048770837281181798e+02
8.288251484049257556e+01 9.671110990755289549e+01 9.445361589283847081e+01
1.048001196998454816e+02 9.405599226975505189e+01 9.129993536604368387e+01
9.441518915693646363e+01 1.039665370598313814e+02 8.991246826597269148e+01
8.413277008997778239e+01 9.007313839153265178e+01 7.969726226747016540e+01
9.071573930045958889e+01 1.044770986922743106e+02 1.052324339621768559e+02
8.462204953243968930e+01 9.902391262873452149e+01 9.099911649425314408e+01
8.711809245516369060e+01 1.203360887877373955e+02 9.081168264139049029e+01
9.219284133624387323e+01 8.403785912651912327e+01 8.483684817056142435e+01
1.054243812722181985e+02 9.943569479794211929e+01 1.093836715994114854e+02
1.081854931620230218e+02 1.007773187496058682e+02 1.140309676548376387e+02
1.136428740727451014e+02 1.027455707352380188e+02 9.621155142040512942e+01
9.173694984928664553e+01 9.702575501605947750e+01 1.024343905471294818e+02
1.113147323844343362e+02 9.834299907624854598e+01 9.727708600465091138e+01
1.102174970566097727e+02 9.282467173469069621e+01 8.967778818417716025e+01
1.136033585207869976e+02 1.119591245962522805e+02 9.876490708258658913e+01
1.080946651937205303e+02 1.051223749300565942e+02 1.026224532078311142e+02
1.099178881858892964e+02 1.082531542926472667e+02 9.553284244804305558e+01
9.781665165994660072e+01 1.176683257585163460e+02 9.342758366574643958e+01
9.965823530377265627e+01 1.215217568955855256e+02 9.124742225050270861e+01
1.116408253593870086e+02 1.170049492022409083e+02 1.060336862505775173e+02
9.630686176136703125e+01 1.213454493573067907e+02 1.098191753832844597e+02
9.207950299693301588e+01 8.276793165245939576e+01 1.081574925601931341e+02
9.662715254209334148e+01 9.116742810188546287e+01 1.027073200725076703e+02
1.132840207863525848e+02 9.374707989121830565e+01 9.189830681634526854e+01
8.442080347406020735e+01 1.021800789034425776e+02 1.190363512804537436e+02
1.060667108160551777e+02 1.069041759556824047e+02 9.637253236138246848e+01
1.151340468019113672e+02 9.897353017509772144e+01 1.011339373083322215e+02
9.053601833858157022e+01 1.024065247103151108e+02 1.019438801867263749e+02
1.079790223926056569e+02 8.934825336965394627e+01 7.984197921166278888e+01
1.040393776403280839e+02 1.130459121944345497e+02 1.026423868116625044e+02
9.849056193482235244e+01 1.054832701833749553e+02 1.101552897921304179e+02
9.257234913862612302e+01 9.054782918071902031e+01 8.941349957283897254e+01
9.949809588738021660e+01 1.009515156713245290e+02 1.124088140399683340e+02
1.032648310419831290e+02 9.382059382827307559e+01 1.135701885828400464e+02
1.009144834126508385e+02 1.046979060991024539e+02 8.724112601721600413e+01
1.025876440716841813e+02 1.098035397737873495e+02 8.576587054292893697e+01
8.902903593018336892e+01 9.921685863955377727e+01 9.571158616294216870e+01
1.175381589239056979e+02 1.165027762517579504e+02 9.349019598778342299e+01
7.546585455865435677e+01 9.123745310948628173e+01 8.716843995764870101e+01
9.626271521234713191e+01 8.461705665019422895e+01 8.472295647560468979e+01
1.013116336311559422e+02 8.925790163211738104e+01 1.004162391255411819e+02
1.008498671237590543e+02 8.810347436260980203e+01 1.018439954697944074e+02
1.069797880972454891e+02 8.924522696315834480e+01 1.055352768168040569e+02
1.054895010579508750e+02 8.806133488663024877e+01 1.089324925163711839e+02
1.039006746218734634e+02 1.272565139857539975e+02 8.704994122091962083e+01
1.042813505054275680e+02 1.193915866938125419e+02 8.468551259767247075e+01
8.741491662753199421e+01 1.174414376855687863e+02 7.945374521600021467e+01
8.294202520902675246e+01 1.202283249185741170e+02 8.365674932445452328e+01
9.210756360732929693e+01 9.577586356621353048e+01 1.111729984261856430e+02
9.641436398402652230e+01 9.638407989716890256e+01 1.086564573661591737e+02
1.067757281524954891e+02 9.170695447810663836e+01 9.639574539412214449e+01
1.115181301224194783e+02 1.188571861940161227e+02 1.044172090731730975e+02
1.147128420532376367e+02 1.105380102663801836e+02 9.806424452938171044e+01
1.043305331866267096e+02 1.122326960203483566e+02 1.059228444501886628e+02
9.792718244575921460e+01 1.115041820496469285e+02 1.037465576449014293e+02
9.769099226012838244e+01 1.100165769850548259e+02 9.856447106392653268e+01
9.812385443636003401e+01 1.065889133187901763e+02 9.684983038444892145e+01
8.301814457675756387e+01 1.092805949207476317e+02 9.434786146883823221e+01
8.679561044309784279e+01 1.189795511086838076e+02 9.595751924446150838e+01
1.032271749668111624e+02 1.179260063018836888e+02 8.345285800287349787e+01
1.005674506538004351e+02 1.018334992645010715e+02 1.015013548909374919e+02
8.991489838497696496e+01 1.051424722671690404e+02 1.013488364876425152e+02
9.598252670854130031e+01 9.388996559151372878e+01 8.865689376623124929e+01
1.130462656078866388e+02 9.050376982478860555e+01 1.103353743081486016e+02
1.109271590769106268e+02 9.547606348632800177e+01 9.735797836820763962e+01
1.027037463799368027e+02 9.264629925396688748e+01 1.053647988478873856e+02
1.016552618185843073e+02 1.002121583920136914e+02 9.738582911253084262e+01
1.020913222355065955e+02 9.452562100645268117e+01 9.583279588568102270e+01
1.008919457193073157e+02 1.015079889087101321e+02 9.691119347924887961e+01
1.055557935379024173e+02 9.790780899251022618e+01 9.678711071358829088e+01
1.020427500959357303e+02 9.565132974667545795e+01 9.661454159644777917e+01
1.117604725871472624e+02 1.017496409599968672e+02 1.034831942122186774e+02
1.009774358334408362e+02 1.013388227764066585e+02 1.000654365503962424e+02
1.033725077295715096e+02 9.622355895973362294e+01 9.561047508960712094e+01
9.335548457096240327e+01 9.932262736315654195e+01 1.044662750596105099e+02
1.080664224865192722e+02 9.283920263392977290e+01 1.009696525855050169e+02
9.343756662812101865e+01 9.835638050256469000e+01 9.618724391236419535e+01
9.018008959800133084e+01 9.534661327762873384e+01 1.051774339041519397e+02
9.853643194980641340e+01 1.053147062640956904e+02 1.083650332792383892e+02
8.949367288057295866e+01 1.193750490063395091e+02 9.534568013348645366e+01
7.425592905632680640e+01 1.207674638027760352e+02 1.050489705421293678e+02
8.490014498616510252e+01 1.106003985159879477e+02 9.104612405140480291e+01
8.794185881537858052e+01 9.488173567644567186e+01 1.077867230617579679e+02
9.479709875102628303e+01 9.687532039004670992e+01 1.092154375867967104e+02
1.003743069067275826e+02 9.906797996936546724e+01 9.272720046782052350e+01
9.707470762050590452e+01 1.104355292510066988e+02 9.274505131834665406e+01
9.446482024326161309e+01 1.099913301630900548e+02 1.161653584173568419e+02
1.025861122765898159e+02 1.097408499072398627e+02 9.832751365199528948e+01
9.831410907384986331e+01 1.075476932152426457e+02 9.835887114109891627e+01
1.026109476064836201e+02 1.086800881035316024e+02 1.007436698256015291e+02
1.019007776228510522e+02 9.535224414992885045e+01 1.086321342261162926e+02
1.117293172571571205e+02 9.220049406099111877e+01 1.051620654350666371e+02
8.705132627037383486e+01 9.253849205558215374e+01 1.169397480883221618e+02
9.654514048062752352e+01 9.422863710724251973e+01 8.703105977724447939e+01
9.214869641594432892e+01 9.479191969522935324e+01 1.115478369998392054e+02
1.016054161420832145e+02 1.012848528494791509e+02 1.118367833816507755e+02
8.421377901743363736e+01 1.017662317182832794e+02 9.017519714365170103e+01
1.172464711560890578e+02 1.033314323740503795e+02 1.094198285642851829e+02
9.422939892382984794e+01 1.100342943745100257e+02 9.359697841767690818e+01
9.612608511108524567e+01 1.070183434134905696e+02 1.101935549786140456e+02
9.305730844999459350e+01 8.718405762259695280e+01 9.323724744588494673e+01
1.120867954773871276e+02 8.889298678209392790e+01 9.186535513885286264e+01
9.080854657707740785e+01 9.411682618874203854e+01 1.026644679239502835e+02
9.703311648877104290e+01 1.088206771179272181e+02 9.785584264887756945e+01
8.676911871735195803e+01 1.018636540988506738e+02 9.866209185309118368e+01
8.127993067287128781e+01 9.801153039554796464e+01 1.066389447907400267e+02
1.209121507714341561e+02 1.020943474104382176e+02 1.126836051964943977e+02
1.241846613252247238e+02 1.000830652370753029e+02 1.097882978803222613e+02
8.200894524267457086e+01 9.541289591118633950e+01 9.922492198757309723e+01
1.000442396140380623e+02 1.000770839397341376e+02 9.818280678210649626e+01
9.196256527840083095e+01 9.688620310823272064e+01 9.606181395156504266e+01
9.924159983703719945e+01 9.323800509980527806e+01 8.907624548423750355e+01
1.102761586016854807e+02 8.690946222071261218e+01 1.077398173537611967e+02
7.595512640206426624e+01 1.057082670559707651e+02 1.139559436582928527e+02
1.129549186299411190e+02 1.023215702553013102e+02 1.071862622409938695e+02
1.099675934012741720e+02 1.185804495949836337e+02 1.043152683850977667e+02
1.070685612957837662e+02 9.752585770446135882e+01 9.846929462634810193e+01
1.011221560692225125e+02 1.056269557549156843e+02 1.018202700707361572e+02
1.015457937278613656e+02 8.320219994071293002e+01 1.054376304505258020e+02
1.024010995533872261e+02 9.852459217818304182e+01 9.319145112119758778e+01
9.976229065264007545e+01 1.107918969268781098e+02 1.072350506341623202e+02
9.185017450429823782e+01 9.390517966904477021e+01 1.020268635974393732e+02
9.647251704814001982e+01 1.079622517388828697e+02 9.946303748299608571e+01
9.639711825297719372e+01 1.099931972811225052e+02 1.015904403194154071e+02
1.065890284374345640e+02 8.280392194497670744e+01 1.042784479068421746e+02
1.193923727428866073e+02 1.015778577339933975e+02 9.046044946819473864e+01
1.145503155169438685e+02 9.345560693387250240e+01 1.041762746938529460e+02
1.114160480090580734e+02 9.599116653103838814e+01 8.431145697247495718e+01
1.048631345558394514e+02 1.024935572395480534e+02 1.152635422472558844e+02
1.093782757238809893e+02 1.039588803306728124e+02 1.140086560282133945e+02
9.445595665156177745e+01 8.706222589918758104e+01 1.093314196550536366e+02
1.006558536169967795e+02 8.419192035346743808e+01 8.714164347682228140e+01
9.164325685412843825e+01 9.656225311794436550e+01 8.410713619496270610e+01
1.028238133238816943e+02 1.099761333382282373e+02 1.237115646350124081e+02
1.104651605320859602e+02 1.000777088127749153e+02 9.047754104289180077e+01
9.177181879742950343e+01 9.441632448267789357e+01 1.059952461906979266e+02
9.489648382093776036e+01 9.632617529413553825e+01 1.049896525855455707e+02
1.013627755304830629e+02 9.302627526856996099e+01 9.991996009272367019e+01
1.016646842843218650e+02 9.953129213378250029e+01 1.103648701019961038e+02
9.743835092033673106e+01 1.093953525839514640e+02 9.601087694092791480e+01
9.916152467022689621e+01 1.081779674404621119e+02 1.012831302617461233e+02
9.000285772764934222e+01 1.211257124844265149e+02 1.056952465661731821e+02
9.072108959653418481e+01 1.223263576841435452e+02 1.085621191024772259e+02
1.051942503366497590e+02 1.180185373436721505e+02 1.039295597881547053e+02
9.143921523806504581e+01 9.209743686961726894e+01 1.062406949393783435e+02
1.126732587941360180e+02 9.540825563096052520e+01 9.644858562028190363e+01
1.163160821606032584e+02 1.019123667674624869e+02 9.429275721666388677e+01
9.183940627907431065e+01 1.197312266556932485e+02 8.686404649161013936e+01
9.464334328394457430e+01 8.178578809485873080e+01 9.808366152473513466e+01
8.861617335531950346e+01 8.187010743803185164e+01 1.110038392998657741e+02
1.314909012045410464e+02 1.022703517796632298e+02 1.103876242141963502e+02
9.366215570874156526e+01 9.004482025259034117e+01 1.226312352951611899e+02
8.915087477549118944e+01 1.048461562667224598e+02 8.438168346074476744e+01
1.161844643746194947e+02 1.145092805995713974e+02 1.037596495258390235e+02
7.826947958722958276e+01 1.010302899715396876e+02 1.024655545740849050e+02
9.677843548898641757e+01 1.191850929021119043e+02 8.596597505622708013e+01
9.708368775596065348e+01 7.784169722535074243e+01 1.167655122733594482e+02
9.441747220103118821e+01 1.068307547703077347e+02 9.705008949325294054e+01
1.054273268445122795e+02 1.100797834641393393e+02 1.002529699335622126e+02
9.656027919451787511e+01 1.083803660969052487e+02 9.813917521464794902e+01
1.136534299210169650e+02 1.095711556833585121e+02 1.052169659829862951e+02
1.082748454404909921e+02 1.188789581057418445e+02 1.148313420637285560e+02
9.390590396910081949e+01 1.132701580491495292e+02 9.123077727421689076e+01
9.940148837069672538e+01 8.655235358685973779e+01 9.141075067347290428e+01
1.002421164860407004e+02 8.478477012523480028e+01 9.596522579302478562e+01
8.816030459227897609e+01 8.697740543606091990e+01 9.752097851215083324e+01
9.494206246528364090e+01 9.207052836789837613e+01 9.745770577695115833e+01
1.042503472981259449e+02 1.063822382536062889e+02 9.622994207015554480e+01
9.915041247942829727e+01 9.855065088124888462e+01 9.984056543223168489e+01
1.312629813914442138e+02 9.771064712573965494e+01 1.125889159496047824e+02
8.876060676798527993e+01 1.073424541218752211e+02 8.888667642117297873e+01
1.074049325155782242e+02 9.656587099981963718e+01 1.302907321233429059e+02
1.065997360136275063e+02 9.350370651486745999e+01 1.022053039308740949e+02
1.004489021275078358e+02 8.712409260359729046e+01 9.914464072001239003e+01
8.205731333939058914e+01 9.716479445544148064e+01 1.105665445064541501e+02
1.036587319442764823e+02 1.007896332148274894e+02 1.136404805081791665e+02
9.319833191818199225e+01 9.654902317497352726e+01 8.968026888775801808e+01
8.653214714345006087e+01 9.037198871470131678e+01 1.045640571274485069e+02
9.411499943108447042e+01 1.018109678593976071e+02 1.044647891634631662e+02
1.054362249329010126e+02 8.077940309845155298e+01 9.664089288606130879e+01
1.042253027869239759e+02 8.737649423608189636e+01 9.419963715517906166e+01
1.015689248813031895e+02 8.049759902635483400e+01 9.183761184113046738e+01
9.393482562158052929e+01 9.926179213602723905e+01 9.137523952111637016e+01
1.085588940535516826e+02 1.021434235367781582e+02 9.995620128696521078e+01
9.355529878780167508e+01 8.396453710683513805e+01 1.003425885848083681e+02
9.021643591696405906e+01 9.992847994692832003e+01 9.564294558962394888e+01
1.046926345910613776e+02 1.032965758961830431e+02 9.909867275577737189e+01
9.799390357342906555e+01 9.722101845139862064e+01 9.372245834910499696e+01
8.652810913300223206e+01 1.184249527438388725e+02 9.234456300503948967e+01
9.410258278658464803e+01 1.181385206482456596e+02 1.082067093216209059e+02
1.007633777164415818e+02 9.760882414111418370e+01 1.019007667099218111e+02
1.002400736844050755e+02 9.665697335160612624e+01 9.771565527857623579e+01
9.689550826273327289e+01 1.041759089221366565e+02 9.611387879750412822e+01
9.880704040013681322e+01 1.061021838686864385e+02 1.091929007951335677e+02
8.421093305502563453e+01 9.534567216881062279e+01 1.049886652590708422e+02
1.116015140289229919e+02 9.122428572586554196e+01 9.648923299178497359e+01
8.455968883158129756e+01 8.829373059376382571e+01 8.367220395595859372e+01
1.072235950742383892e+02 1.051057910221570921e+02 9.889770181724692577e+01
9.998620895103175599e+01 9.801918832089465639e+01 1.038403743052757875e+02
1.036557111944653684e+02 1.057727393419871476e+02 1.007119337814066000e+02
1.021435236247474165e+02 1.049028326124421966e+02 9.814620845489356782e+01
9.541070493112786721e+01 9.769255098785941982e+01 1.032477685106777159e+02
9.781497274213103310e+01 8.380905488313698015e+01 9.416338962497273712e+01
8.426524588538286764e+01 1.060805389556668956e+02 9.447956556751724122e+01
1.053732133402703539e+02 9.279906515240799081e+01 1.110981483962534355e+02
1.018413997914144602e+02 9.656050072400262252e+01 1.154521652244458636e+02
1.003735300882156878e+02 9.745391249039312243e+01 8.726209419876769857e+01
9.750924396377632775e+01 7.571148185100575745e+01 9.341654134497389350e+01
1.092569200018162405e+02 9.343346237768838591e+01 9.958479471047263587e+01
9.906561634466093835e+01 1.001887319242738386e+02 8.563285402049037032e+01
1.011107675810391271e+02 1.073902958535096133e+02 8.724917778251042932e+01
8.924816358170656372e+01 9.555501731551778732e+01 8.750331008832758073e+01
9.066565961840299792e+01 1.068303391414297039e+02 9.590007162630249127e+01
1.013171252491002576e+02 1.197578248027280097e+02 9.571367231560442690e+01
8.768739639871856184e+01 1.271029392767284065e+02 1.046745890156753092e+02
8.590266276092202702e+01 1.233710233756389840e+02 1.050157977847178046e+02
1.050877809523993136e+02 1.261597383320651460e+02 9.078968901692906002e+01
1.044947590033703477e+02 1.272433268374019093e+02 9.710921973130476204e+01
9.491597783750489725e+01 1.260740167434234422e+02 1.062131249019282109e+02
1.014561889938780155e+02 1.247716147148069581e+02 1.007709028432141594e+02
9.885557102427631548e+01 1.217612236002642305e+02 9.201258226243871263e+01
1.168201179235768024e+02 1.222986834151492701e+02 1.054005478739178443e+02
1.110738560937977013e+02 8.544690016816893774e+01 1.056496648233070914e+02
8.995841455213640359e+01 8.375210608352601582e+01 9.797822240486992484e+01
8.668974914082689054e+01 8.013514246732923141e+01 9.417824419795415736e+01
9.832783368704721738e+01 1.149596143223332092e+02 9.214446257419278652e+01
8.803351892243375687e+01 9.004787253684891368e+01 1.099770984602934050e+02
9.988264326082236266e+01 1.035864540967926928e+02 1.092422029707033744e+02
8.870584884863693276e+01 8.827178933559588359e+01 1.086075838397908484e+02
9.573260163020893287e+01 9.405517460789315010e+01 1.101047292120024963e+02
7.302453758182043941e+01 1.089837305706479640e+02 9.238831069818273534e+01
7.735324609189186162e+01 9.765893037913957642e+01 1.065053167806813974e+02
8.280579524304613415e+01 1.146588951315261795e+02 1.076692907040856255e+02
8.377320318390022180e+01 1.166919285077788970e+02 7.864267935491531603e+01
1.073526314925291558e+02 8.275137931325856755e+01 8.745746600734655374e+01
9.874547639857009074e+01 8.185353582707975306e+01 1.050890048723481982e+02
1.002970931171088580e+02 1.086520024728160507e+02 8.475808042824874633e+01
1.008837269269250783e+02 9.192826152229299908e+01 1.064838944655040649e+02
1.012243973745411978e+02 8.874452747234801109e+01 1.005887322750624548e+02
9.887219843445924994e+01 1.075745085390374811e+02 9.787980356767762657e+01
1.055655330039668627e+02 9.267484102060444684e+01 1.169575966164852048e+02
1.243672348587700895e+02 1.006682915167019416e+02 1.108624214265608430e+02
1.161888202049963184e+02 9.502444033743914531e+01 1.002256245739472007e+02
1.112232973147003463e+02 1.149821691657234766e+02 9.149893735369821002e+01
9.274191609584826779e+01 8.933730172715462459e+01 1.009398029014538167e+02
8.294997142587722294e+01 9.122790612753422579e+01 9.352193680349725469e+01
9.727539469858847099e+01 9.218499749007331445e+01 9.787600377872681179e+01
1.065426181231287188e+02 9.043138072422674156e+01 8.177532494291854448e+01
9.232558322335444245e+01 8.563897637693355591e+01 1.138530370509131160e+02
9.920156743824618673e+01 1.006713317079778562e+02 1.038918390886802570e+02
1.036401566642369971e+02 8.090206441386970937e+01 1.104501708820377246e+02
9.125445778686409426e+01 1.177639492094163955e+02 1.031385757754139547e+02
8.602530594739913283e+01 9.436726028940830702e+01 9.707712303294582057e+01
1.233957244046457333e+02 1.019636110802411935e+02 9.664496361555634962e+01
1.158344641462630591e+02 1.055208235760472064e+02 9.839024355924490806e+01
1.051998772228349566e+02 8.850998690345947750e+01 9.888411022256863703e+01
8.113933516743475138e+01 8.783967027298226071e+01 9.804562043774515701e+01
1.104811711306033146e+02 8.971639470258858751e+01 9.279753292970939071e+01
1.056938372983600516e+02 1.042439427273034767e+02 1.213616788471429970e+02
1.027217065446798188e+02 9.234892864170328153e+01 1.228375280171557193e+02
9.867113861417060150e+01 9.627981150120535858e+01 1.133685944877790348e+02
9.232589247521622156e+01 1.086547725638214672e+02 8.711505140434069006e+01
1.243440362154897514e+02 1.183825126580526756e+02 9.094531901418775988e+01
1.271481337033286110e+02 1.029194196855523842e+02 9.241283176300049718e+01
1.074430000637073874e+02 9.902794966032941204e+01 9.084047671309159000e+01
1.110368850268569361e+02 1.010874123810940119e+02 1.012048375361092241e+02
1.040002540712772401e+02 9.034516696713143347e+01 1.034301391688534011e+02
8.312700088950580835e+01 1.091801757863941162e+02 1.025927266254969510e+02
8.424590755428843636e+01 9.295091820316235953e+01 9.722645716213600053e+01
8.287806916135133406e+01 1.070473469815940177e+02 8.816315747109186418e+01
1.105025703962370045e+02 9.011488248379740185e+01 9.746011826518649457e+01
1.134924235241986139e+02 1.003635576701951777e+02 1.018161695426036033e+02
1.133763204762783943e+02 1.050961965454130507e+02 1.092220631248216591e+02
8.774522523426757914e+01 9.224061215832432481e+01 8.630295398724550182e+01
1.059432772450319504e+02 9.995737703463598223e+01 1.012727157066217103e+02
1.123153366899896071e+02 9.155149676522404434e+01 9.466028954782443350e+01
1.145392748481994261e+02 8.768923821057690304e+01 9.624162607655540569e+01
1.142767175141328977e+02 1.095940104138462914e+02 1.053856165577045942e+02
1.032337178631326822e+02 1.191267542361645155e+02 1.026672810079561486e+02
9.781443786648792127e+01 1.201158392299578566e+02 9.292924512851763552e+01
1.023804934691532367e+02 1.071058645345827074e+02 1.021540242767010795e+02
1.054895505756218341e+02 8.170474558652441033e+01 8.987105021632117996e+01
1.015600960313145009e+02 8.491054477782770959e+01 1.055157173417604781e+02
9.166732772403810259e+01 9.669073288640852581e+01 9.757703921625223131e+01
8.993702786490121071e+01 1.000093074008284191e+02 9.212401090174522267e+01
1.106781308753956097e+02 1.043407650704303222e+02 9.866654004480378148e+01
9.206207880084119211e+01 9.799933724284352365e+01 9.522023790645150143e+01
1.026736939607375518e+02 9.974219334286473782e+01 8.828924521398278102e+01
1.026753292013246437e+02 1.053618950160064003e+02 8.652749867131646511e+01
1.080095029405246976e+02 1.058545531522783705e+02 8.442673312782397943e+01
